grayscale,use_compression,jpeg_quality,resolution_width,resolution_height,frame_skip
True,True,50,64,64,0
True,True,50,64,64,0
True,True,50,64,64,0
True,True,50,64,64,2
True,True,50,64,64,2
True,True,50,64,64,2
True,True,50,64,64,4
True,True,50,64,64,4
True,True,50,64,64,4
True,True,50,74,74,0
True,True,50,74,74,0
True,True,50,74,74,0
True,True,50,74,74,2
True,True,50,74,74,2
True,True,50,74,74,2
True,True,50,74,74,4
True,True,50,74,74,4
True,True,50,74,74,4
True,True,50,84,84,0
True,True,50,84,84,0
True,True,50,84,84,0
True,True,50,84,84,2
True,True,50,84,84,2
True,True,50,84,84,2
True,True,50,84,84,4
True,True,50,84,84,4
True,True,50,84,84,4
True,False,100,64,64,0
True,False,100,64,64,0
True,False,100,64,64,0
True,False,100,64,64,2
True,False,100,64,64,2
True,False,100,64,64,2
True,False,100,64,64,4
True,False,100,64,64,4
True,False,100,64,64,4
True,False,100,74,74,0
True,False,100,74,74,0
True,False,100,74,74,0
True,False,100,74,74,2
True,False,100,74,74,2
True,False,100,74,74,2
True,False,100,74,74,4
True,False,100,74,74,4
True,False,100,74,74,4
True,False,100,84,84,0
True,False,100,84,84,0
True,False,100,84,84,0
True,False,100,84,84,2
True,False,100,84,84,2
True,False,100,84,84,2
True,False,100,84,84,4
True,False,100,84,84,4
True,False,100,84,84,4
False,True,50,64,64,0
False,True,50,64,64,0
False,True,50,64,64,0
False,True,50,64,64,2
False,True,50,64,64,2
False,True,50,64,64,2
False,True,50,64,64,4
False,True,50,64,64,4
False,True,50,64,64,4
False,True,50,74,74,0
False,True,50,74,74,0
False,True,50,74,74,0
False,True,50,74,74,2
False,True,50,74,74,2
False,True,50,74,74,2
False,True,50,74,74,4
False,True,50,74,74,4
False,True,50,74,74,4
False,True,50,84,84,0
False,True,50,84,84,0
False,True,50,84,84,0
False,True,50,84,84,2
False,True,50,84,84,2
False,True,50,84,84,2
False,True,50,84,84,4
False,True,50,84,84,4
False,True,50,84,84,4
False,False,100,64,64,0
False,False,100,64,64,0
False,False,100,64,64,0
False,False,100,64,64,2
False,False,100,64,64,2
False,False,100,64,64,2
False,False,100,64,64,4
False,False,100,64,64,4
False,False,100,64,64,4
False,False,100,74,74,0
False,False,100,74,74,0
False,False,100,74,74,0
False,False,100,74,74,2
False,False,100,74,74,2
False,False,100,74,74,2
False,False,100,74,74,4
False,False,100,74,74,4
False,False,100,74,74,4
False,False,100,84,84,0
False,False,100,84,84,0
False,False,100,84,84,0
False,False,100,84,84,2
False,False,100,84,84,2
False,False,100,84,84,2
False,False,100,84,84,4
False,False,100,84,84,4
False,False,100,84,84,4
